,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,AF2-,,,,,,,,,,,,,,,,,,,,,
site_name,Agate Falls section 2,,,,,,,,,,,,,,,,,,,,,
site_lat,46.480833,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-89.089722,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0.2,220,21.0,239.7,4.9,no,162.0,-4.0,2021.0,7.0,12.0,15.0,56.0,1.0,nan,214.7,[356.4617472504102; 72.24582216613807; 55362.27289001818],-3.5382527495897875,-5.300000000000011,214.7,nan
2a,sun compass orientation,0.2,220,15.0,239.7,4.9,no,160.0,-4.0,2021.0,7.0,12.0,16.0,1.0,1.0,nan,214.4,[356.46174709094925; 72.2458214100785; 55362.27196232577],-3.5382529090507546,-5.599999999999994,214.4,nan
3a,sun compass orientation,0.2,238,14.0,239.7,4.9,no,178.0,-4.0,2021.0,7.0,12.0,16.0,6.0,1.0,nan,234.0,[356.4617469314883; 72.24582065401889; 55362.2710346334],-3.5382530685117217,-4.0,234.0,nan
4a,sun compass orientation,0.2,250,15.0,239.7,4.9,no,187.0,-4.0,2021.0,7.0,12.0,16.0,12.0,1.0,nan,244.9,[356.46174674013514; 72.24581974674729; 55362.26992140253],-3.5382532598648595,-5.099999999999994,244.9,nan
5a,sun compass orientation,0.25,178,6.0,239.7,4.9,no,115.0,-4.0,2021.0,7.0,12.0,16.0,15.0,1.0,nan,173.8,[356.4617466444586; 72.24581929311148; 55362.2693647871],-3.5382533555414284,-4.199999999999989,173.8,nan
6a,sun compass orientation,0.25,208,70.0,239.7,4.9,no,143.0,-4.0,2021.0,7.0,12.0,16.0,21.0,1.0,nan,203.6,[356.4617464531055; 72.24581838583987; 55362.26825155624],-3.5382535468945093,-4.400000000000006,203.6,nan
7a,sun compass orientation,0.3,207,73.0,239.7,4.9,no,139.0,-4.0,2021.0,7.0,12.0,16.0,29.0,1.0,nan,201.9,[356.461746197968; 72.2458171761443; 55362.2667672485],-3.5382538020319885,-5.099999999999994,201.9,nan
8a,sun compass orientation,0.3,224,69.0,239.7,4.9,no,156.0,-4.0,2021.0,7.0,12.0,16.0,33.0,1.0,nan,220.0,[356.4617460703993; 72.24581657129649; 55362.2660250946],-3.538253929600728,-4.0,220.0,nan
9a,sun compass orientation,2.25,241,70.0,239.7,4.9,no,169.0,-4.0,2021.0,7.0,12.0,16.0,47.0,1.0,nan,236.7,[356.46174562390877; 72.24581445432901; 55362.26342755611],-3.5382543760912313,-4.300000000000011,236.7,nan
10a,sun compass orientation,2.3,218,82.0,239.7,4.9,no,140.0,-4.0,2021.0,7.0,12.0,17.0,9.0,1.0,nan,213.0,[356.46174492228096; 72.24581112766549; 55362.259345710016],-3.538255077719043,-5.0,213.0,nan
